"Tytuł projektu";"Kierownik projektu";"Data rozpoczęcia realizacji projektu";"Termin zakończenia";"Instytucja finansująca";"Środki finansowe ogółem (PLN)";"Rodzaj projektu";"Nazwa programu";"Instytucja/Jednostka realizująca";"Adres jednostki realizującej";"Status projektu";
"Dynamika telomerazy i telomerowego DNA u pstrągów tęczowych z zaburzeniami wzrostu i zakłóconym procesem rozwoju gonad";"dr hab. Konrad Ocalewicz";"2018-06-27";"2021-06-26";"
    •  budżet - NCN

";756069;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Gdański; Wydział Oceanografii i Geografii

";"
    •  Aleja marsz. Piłsudskiego 46, Gdynia

";"W trakcie realizacji";
"Badanie zdolności fizjologicznych drożdży Yarrowia lipolytica do rozkładu tworzyw sztucznych.";"dr hab. Aleksandra Mirończuk";"2018-06-26";"2021-06-25";"
    •  budżet - NCN

";1096000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Przyrodniczy we Wrocławiu; Wydział Biotechnologii i Nauk o Żywności

";"
    •  Józefa Chełmońskiego 37, Wrocław

";"W trakcie realizacji";
"Współczesne trendy w teorii półgrup operatorowych";"prof. dr hab. Yuriy Tomilov";"2018-06-26";"2021-06-25";"
    •  budżet - NCN

";526200;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Matematyczny Polskiej Akademii Nauk

";"
    •  Jana i Jędrzeja Śniadeckich 8, Warszawa

";"W trakcie realizacji";
"Właściwości transportowe magnetycznych izolatorów topologicznych";"Vitalii Dugaev";"2018-06-26";"2021-06-25";"
    •  budżet - NCN

";426000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Politechnika Rzeszowska im. Ignacego Łukasiewicza; Wydział Matematyki i Fizyki Stosowanej

";"
    •  Aleja Powstańców Warszawy 8, Rzeszów

";"W trakcie realizacji";
"Opracowanie szybkiej i wydajnej metody osadzania analitu w polu elektrycznym jako udoskonalenie czujników i bioczujników";"mgr inż. Łukasz Richter";"2018-06-26";"2019-06-25";"
    •  budżet - NCN

";69950;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Instytut Chemii Fizycznej Polskiej Akademii Nauk

";"
    •  Marcina Kasprzaka 44/52, Warszawa

";"W trakcie realizacji";
"Similar but different: neighbourhood change in Halle (Saale) and Łódź Podobne ale różne: przemiany społeczno-przestrzenne w Halle (Saale) i Łodzi";"dr Agnieszka Ewa Ogrodowczyk";"2018-06-26";"2021-06-27";"
    •  budżet - NCN

";202478;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"BEETHOVEN; edycja 2";"
    •  Uniwersytet Łódzki; Wydział Nauk Geograficznych

";"
    •  Prezydenta Gabriela Narutowicza 88, Łódź

";"W trakcie realizacji";
"Określenie sejsmicznej struktury płaszcza Ziemi na podstawie rejestracji grawimetrów pływowych";"dr hab. Wilde-Piórko Monika Agnieszka";"2018-06-26";"2021-06-25";"
    •  budżet - NCN

";513010;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Geodezji i Kartografii

";"
    •  Jacka Kaczmarskiego 27, Warszawa

";"W trakcie realizacji";
"Mechanizm segregacji chromosomów u Mycobacterium - rola białek oddziałujących z ParA";"prof. dr hab. Dagmara Ewa Jakimowicz";"2018-06-26";"2021-06-25";"
    •  budżet - NCN

";1820000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Wrocławski; Wydział Biotechnologii

";"
    •  Fryderyka Joliot-Curie 14a, Wrocław

";"W trakcie realizacji";
"Praktyczna przydatność skali RPE Borga do określania i regulacji intensywności biegu w warunkach terenowych oraz ocena powysiłkowej stabilności postawy strzeleckiej u pięcioboistów";"dr Maria Ładyga";"2018-06-22";"2018-12-05";"
    •  budżet - inne resorty

";75000;"Inne programy";"Inny program (Zadanie publiczne w ramach zadania 8.2 - Sport Wyczynowy, finansowane lub dofinansowane z części 25 budżetu państwa - kultura fizyczna, a także z Funduszu Rozwoju Kultury Fizycznej)";"
    •  Instytut Sportu - Państwowy Instytut Badawczy

";"
    •  Trylogii 2/16, Warszawa

";"W trakcie realizacji";
"Analiza prawidłowości doboru pozycji kolarskiej u młodych zawodników kolarstwa";"dr Witek, Konrad Marcin";"2018-06-22";"2018-11-30";"
    •  budżet - inne resorty
    •  inna (Ministerstwo Sportu i Turystyki)

";75000;"Inne programy";"Inny program (Zadanie publiczne w ramach zadania 8.2 - Sport Wyczynowy, finansowane lub dofinansowane z części 25 budżetu państwa - kultura fizyczna, a także z Funduszu Rozwoju Kultury Fizycznej)";"
    •  Instytut Sportu - Państwowy Instytut Badawczy

";"
    •  Trylogii 2/16, Warszawa

";"W trakcie realizacji";
"Multidyscyplinarne studia mikroregionalne nad środkowym paleolitem południowo-zachodniej części Gór Czatkalskich (zachodnie przedgórze Tien Szanu, Uzbekistan)";"prof. dr hab. Karol Mieczysław Szymczak";"2018-06-21";"2021-06-20";"
    •  budżet - NCN

";711490;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 13";"
    •  Uniwersytet Warszawski; Wydział Historyczny

";"
    •  Krakowskie Przedmieście 26/28, Warszawa

";"W trakcie realizacji";
"Cykle życiowe gwiazd nowych z zaawansowanymi ewolucyjnie donorami";"prof. dr hab. Joanna Maria Mikołajewska";"2018-06-20";"2021-06-19";"
    •  budżet - NCN

";796,28;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk

";"
    •  Bartycka 18, Warszawa

";"W trakcie realizacji";
"Astronomia gwiazdowa z pomocą globalnej zrobotyzowanej sieci teleskopów ""Solaris""";"prof. dr hab. Maciej Robert Konacki";"2018-06-20";"2021-06-19";"
    •  budżet - NCN

";1318,4;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk

";"
    •  Bartycka 18, Warszawa

";"W trakcie realizacji";
"Biomikrobetony dla chirurgii kostnej z układu alfa TCP - HAp - chitozan z hybrydowymi granulami";"prof. dr hab. ANNA KRYSTYNA ŚLÓSARCZYK";"2018-06-20";"2021-06-19";"
    •  budżet - NCN

";829,28;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Materiałowej i Ceramiki

";"
    •  Aleja Adama Mickiewicza 30/B-8, Kraków

";"W trakcie realizacji";
"Rola mechanicznej regulacji lokalnej zmienności w formowaniu powtarzalnych organów roślinnych";"prof. dr hab. Dorota Kwiatkowska";"2018-06-20";"2021-06-19";"
    •  budżet - NCN

";504,945;"Projekt międzynarodowy niewspółfinansowany";;"
    •  Uniwersytet Śląski w Katowicach

";"
    •  Bankowa 12, Katowice

";"W trakcie realizacji";
"Badanie zmian parametrów fizycznych górnej jonosfery wywołanych wyładowaniami elektrycznymi w atmosferze";"prof. dr hab. Jan Szczepan Błęcki";"2018-06-20";"2020-06-19";"
    •  budżet - NCN

";454,6;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Centrum Badań Kosmicznych Polskiej Akademii Nauk

";"
    •  Bartycka 18A, Warszawa

";"W trakcie realizacji";
"Wycena zdrowotnych korzyści społecznych z redukcji zanieczyszczenia powietrza i smogu w polskich miastach. Analiza wpływu sprawiedliwości środowiskowej, zachowań prośrodowiskowych i informacji na heterogeniczność preferencji w wycenie.";"dr hab. Anna Małgorzata Bartczak";"2018-06-20";"2021-06-19";"
    •  budżet - NCN

";426,58;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Nauk Ekonomicznych

";"
    •  Długa 44/50, Warszawa

";"W trakcie realizacji";
"Determinanty nadmiernej pewności siebie: badania z wykorzystaniem danych ze świata sportu i gier.";"Michał Wiktor Krawczyk dr hab.";"2018-06-20";"2021-06-19";"
    •  budżet - NCN

";291,28;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Nauk Ekonomicznych

";"
    •  Długa 44/50, Warszawa

";"W trakcie realizacji";
"Charakter nowych modeli biznesowych i ich znaczenie dla rozwoju rynków tradycyjnych na przykładzie Airbnb";"Kristóf Gyódi";"2018-06-20";"2020-06-19";"
    •  budżet - NCN

";104,57;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Nauk Ekonomicznych

";"
    •  Długa 44/50, Warszawa

";"W trakcie realizacji";
"Badania numeryczne i eksperymentalne procesów cieplno-przepływowych w warstwach granularnych";"Ewa Szymanek";"2018-06-20";"2020-06-19";"
    •  budżet - NCN

";110,6;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM";"
    •  Politechnika Częstochowska; Wydział Inżynierii Mechanicznej i Informatyki

";"
    •  Aleja Armii Krajowej 21, Częstochowa

";"W trakcie realizacji";
"Kopiec 4 i 8, Kosin 10- pracownie kultury łużyckiej na terenie wychodni krzemieni turońskich w Antyklinie Rachowa";"dr hab. Anna Zakościelna";"2018-06-15";"2019-12-31";"
    •  budżet - inne resorty

";103,6;"Inne programy";"Inny program (Program Ministra Kultury i Dziedzictwa Narodowego, Dziedzictwo kulturowe, Ochrona zabytków archeologicznych)";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie

";"
    •  Plac im. Marii Curie-Skłodowskiej 5, Lublin

";"W trakcie realizacji";
"Dubeczno, stan . 1 (Pojezierze Łęczyńsko-Włodawskie). Materiały z badań archeologicznych w latach 1986-1987";"dr hab. Halina Taras";"2018-06-15";"2019-12-31";"
    •  budżet - inne resorty

";80,85;"Inne programy";"Inny program (Program Ministra Kultury i Dziedzictwa Narodowego, Dziedzictwo kulturowe, Ochrona zabytków archeologicznych)";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie

";"
    •  Plac im. Marii Curie-Skłodowskiej 5, Lublin

";"W trakcie realizacji";
"Wykonanie projektu hermetycznego układu gazowego do cyrkulacji mieszaniny gazowej CO2/Ar";"dr TOMASZ BANASZKIEWICZ";"2018-06-15";"2019-02-28";"
    •  środki przedsiębiorstw krajowych

";;"Inne projekty badawcze i badawczo-rozwojowe realizowane w kraju, w konsorcjach lub na zlecenie krajowych bądź międzynarodowych podmiotów gospodarczych";"Europejski Fundusz Rozwoju Regionalnego (z wyłączeniem projektów inwestycyjnych)";"
    •  Politechnika Wrocławska; Wydział Mechaniczno-Energetyczny

";"
    •  Stanisława Wyspiańskiego 27, Wrocław

";"W trakcie realizacji";
